Step,Time_ms,Electrical_Angle_deg,Mechanical_Angle_deg,Current_A_Phase,Current_B_Phase,Current_C_Phase,Flux_Linkage_A_Wb,Flux_Linkage_B_Wb,Flux_Linkage_C_Wb,BackEMF_A_V,BackEMF_B_V,BackEMF_C_V,Torque_Nm
40,2.777778,150.0000,60.0000,-202.723526,558.720899,-355.997373,0.01448853,0.00397744,-0.02183322,-9.641808,19.368368,-7.763397,301.859642
41,2.847222,153.7500,61.2500,-236.829712,563.312334,-326.482622,0.01381631,0.00524948,-0.02228784,-9.679914,18.317343,-6.546434,307.807990
42,2.916667,157.5000,62.5000,-269.921756,565.491579,-295.569823,0.01300152,0.00656308,-0.02253538,-11.733057,18.915838,-3.564657,295.025633
43,2.986111,161.2500,63.7500,-301.857954,565.249302,-263.391348,0.01196699,0.00795939,-0.02252740,-14.897147,20.106948,0.114993,283.194440
44,3.055556,165.0000,65.0000,-332.501550,562.586541,-230.084991,0.01079201,0.00942449,-0.02238648,-16.919773,21.097307,2.029171,291.868576
45,3.125000,168.7500,66.2500,-361.721324,557.514698,-195.793375,0.00961499,0.01090717,-0.02219361,-16.949149,21.350676,2.777321,305.206839
46,3.194444,172.5000,67.5000,-389.392151,550.055492,-160.663341,0.00846708,0.01231468,-0.02195157,-16.529809,20.268164,3.485392,317.406432
47,3.263889,176.2500,68.7500,-415.395541,540.240863,-124.845322,0.00735122,0.01369833,-0.02152416,-16.068351,19.924505,6.154715,316.170088
48,3.333333,180.0000,70.0000,-439.620143,528.112840,-88.492697,0.00620881,0.01501261,-0.02079476,-16.450742,18.925641,10.503393,302.920231
49,3.402778,183.7500,71.2500,-461.962225,513.723357,-51.761132,0.00498159,0.01619737,-0.01985878,-17.671971,17.060606,13.478112,304.213191
50,3.472222,187.5000,72.5000,-482.326114,497.134032,-14.807918,0.00370190,0.01725044,-0.01897796,-18.427622,15.164158,12.683803,315.279341
51,3.541667,191.2500,73.7500,-500.624608,478.415902,22.208706,0.00245265,0.01818552,-0.01826401,-17.989070,13.465074,10.280921,319.606840
52,3.611111,195.0000,75.0000,-516.779350,457.649122,59.130228,0.00126059,0.01908047,-0.01758562,-17.165772,12.887359,9.768790,314.205635
53,3.680556,198.7500,76.2500,-530.721165,434.922618,95.798546,0.00004038,0.01992227,-0.01678703,-17.571023,12.121943,11.499706,295.605977
54,3.750000,202.5000,77.5000,-542.390349,410.333709,132.056640,-0.00126888,0.02065542,-0.01592779,-18.853368,10.557267,12.372966,285.339856
55,3.819444,206.2500,78.7500,-551.736935,383.987688,167.749247,-0.00263751,0.02129415,-0.01515785,-19.708245,9.197747,11.087164,293.038232
56,3.888889,210.0000,80.0000,-558.720899,355.997373,202.723526,-0.00398078,0.02183211,-0.01448746,-19.343028,7.746696,9.653653,301.307001
57,3.958333,213.7500,81.2500,-563.312334,326.482622,236.829712,-0.00525049,0.02228559,-0.01381527,-18.283838,6.530131,9.679573,307.071121
58,4.027778,217.5000,82.5000,-565.491579,295.569823,269.921756,-0.00656462,0.02253298,-0.01300085,-18.923509,3.562357,11.727601,294.772403
